Braking behaviour of automated vehicles as critical implicit communication for pedestrians' vehicle behaviour estimation and road crossing	R2031423
Regulation Strategy Usage and Forecasting with Dynamic Stimuli	R2031431
A dynamic model of context-based retrieval	R2031527
Incidental anger and happiness increase intentional self-serving deception: An online study based on an ecological deception task	R2031532
MODELING RISK-TAKING IN EUTHYMIC BIPOLAR DISORDER Lasagna et al. 1 Mathematical modeling of risk-taking in bipolar disorder: Evidence of reduced behavioral consistency, with altered loss aversion specific to those with history of substance use disorder	R2031538
Posterior ERP tracks evidence accumulation for memory-based decisions	R2031549
A Registered Report on Gender Bias in Interpersonal Dishonesty: Are Females and Males Cheated Differently?	R2031556
Reliable Organisms from Unreliable Components Revisited: The Linear Drift, Linear Infinitesimal Variance Model of Decision Making	R2031563
Robots improve judgments on self-generated actions: an Intentional Binding Study	R2031572
Running head: GENERATION AND CHOICE RELY ON DISTINCT FORMS OF VALUE 1 Generating options and choosing between them rely on distinct forms of value representation	R2031577
Perspectives on the mechanistic underpinnings of choice biases	R2031585
How does personalized feedback on carbon emissions impact intended climate action?	R2031594
Global motion evoked potentials in autistic and dyslexic children: a cross-syndrome approach	R2031600
Assessing communica on success in triads based on group decisionmaking outcomes	R2031612
Running head: LBW DECISIONS IN ELITE CRICKET 1 When in doubt, it's not out: Match is associated with changes in elite-level cricket umpires' leg-before-wicket decisions	R2031623
The globalizability of temporal discounting	R2031630
Running head: MODELING WITHIN-TRIAL CONFLICT 1 A Model of Dynamic, Within-Trial Conflict Resolution for Decision Making	R2031640
Learning to be confident: How agents learn confidence based on prediction errors	R2031647
Reckless Gambles and Responsible Ventures: Racialized Prototypes of Risk-taking	R2031653
Analysis of a stochastic dynamical model of word-by-word sentence comprehension	R2031661
Women compared with men work harder for small rewards	R2031670
Making it worse by trying to make it better -Intolerance of uncertainty is associated with maladaptive safety behavior in decision making	R2031679
Foreign Language Effect on the Judgment of Bullshit: Interplay of Language, Emotions and Meaning	R2031687
Dyadic Interaction Platform: A novel tool to study transparent social interactions	R2031695
Considering what we know and what we don't know: Expectations and confidence guide value integration in value-based decision-making	R2031705
Note: This version adds labels for Table 1 and corrects a data entry error regarding the total hurricane fear rating for people low in intuition, which does not meaningfully affect the results	R2031715
Neural and cognitive signatures of guilt predict hypocritical blame	R2031726
Response Time and Algorithmic Predictions	R2031745
Goal-driven information search biases create polarization and extremism during the accumulation of qualitative evidence	R2031758
An active inference account of skilled anticipation in sport: Using computational models to formalise theory and generate new hypotheses	R2031766
Boosting model-based control in older adults	R2031775
Running Title: RETRO-CUEING IN MULTI-ATTRIBUTE CHOICES 1 Retro-cueing in multi-attribute choices: The influence of memory availability on strategy selection and attribute weights	R2031781
The temporal dynamics of attentional allocation during counterfactual learning	R2031789
Interoception as modeling, allostasis as control	R2031797
Bayesian Priors in Active Avoidance	R2031806
Naive Sociology: Children recognize decision-making structures and prefer groups with less concentrated power	R2031813
Resting-state EEG temporal correlations relate to the prioritization of internal preference over past external rewards in free choice	R2031820
Self-reported childhood family adversity is linked to an attenuated gain of trust during adolescence	R2031829
Mathers, S. (in press) Using video to assess preschool teachers' pedagogical knowledge: explicit and higher-order knowledge predicts quality. Accepted for publication by Early Childhood Research Quarterly (due 2021)	R2031837
Enhancing Computational Diagnostic Tools for Major Depressive Disorder in Children and Adolescents: Deep Learning Analysis of Resting-State and Functional Connectivity from High-Density EEG	R2031842
BAYESIAN ESTIMATION OF ENGAGEMENT MODELS	R2031849
Inefficient eye movements: Gamification improves task execution, but not fixation strategy	R2031859
Positive affect modulates memory by regulating the influence of reward prediction errors	R2031868
Number of references: 36	R2031876
Multiple timescales of temporal context in risky choice: Behavioral identification and relationships to physiological arousal	R2031884
A Study on the Prevalence of Groupthink in International Education Communities 4/26/23	R2031892
Subtle motion cues by automated vehicles can nudge human drivers' decisions: Empirical evidence and computational cognitive model	R2031908
Neural implementation of computational mechanisms underlying the continuous trade-off between cooperation and competition	R2031924
Decision from Experience Behavior Modeling (DEBM): an open-source Python package for developing, evaluating, and visualizing behavioral models	R2031931
Preference centrality, but not set similarity, predicts choices between sets	R2031935
How people interpret projections of future climate change depends on what they think is most likely to happen	R2031943
Cognitive processing speed is high until age 60: Insights from Bayesian modeling in a one million sample (with a little help of deep learning)	R2031951
Aversion to option loss in a restless bandit task	R2031959
Moral decision making is robust to physical fatigue: a Process Dissociation analysis	R2031965
[4] Canadian Institute for Advanced Research, Program on Brain, Mind and Consciousness	R2031974
Exploring the Sources of Variance in Risky Decision Making with Large Language Models	R2031982
Working Memory Capacity Predicts Individual Differences in Social Distancing Compliance during the COVID-19 Pandemic in the U.S	R2031990
Adolescents Sample More Information Prior to Decisions than Adults when Effort Costs Increase	R2032003
Uncertainty Salience Reduces the Accessibility of Episodic Future Thoughts	R2032010
Different exploration strategies along the autism spectrum: Diverging effects of autism diagnosis and autism traits	R2032016
Prior perceptual experiences not only bias but also impact the speed of decision for a new stimulus	R2032025
Emotion-Based Learning by Iowa and Bangor Gambling Tasks: Similar but not the same?	R2032033
Simultaneous modeling of choice, confidence and response time in visual perception	R2032038
Evidence for entropy maximisation in human free choice behaviour	R2032045
Investigating Human-Robot Overtrust During Crises	R2032053
Cognitive ability and looking on the b/right side of life	R2032062
Understanding the Decline in Cooperation: The Role of Confusion and Social Preferences in Public Goods Games, Investigated Through Manipulation of Other Players' Behavior and Decision-Making Model Comparisons	R2032070
Preferences for costly cooperation are highly individualized	R2032077
A Canary Alive: What Cheating Reveals About Morality and Its Development	R2032085
Risk taking for potential losses but not gains increases with time of day	R2032093
The Autocorrelated Bayesian Sampler: A Rational Process for Probability Judgments, Estimates, Confidence Intervals, Choices, Confidence Judgments, and Response Times	R2032101
A Theory of Multi-Attribute Search and Choice	R2032110
STIMULUS SELECTION USING FISHER INFORMATION 1 Stimulus Selection in a Q-learning Model using Fisher Information and Monte Carlo Simulation	R2032118
Blind to bias? Young children do not anticipate that sunk costs lead to irrational choices	R2032133
Experience-driven recalibration of learning from surprising events	R2032158
Running head: Social influence on decision-making	R2032189
Episodic retrieval for model-based evaluation in sequential decision tasks	R2032212
Transdiagnostic psychiatric symptom dimensions predict human approachavoidance conflict behaviour	R2032234
Deliberately making miskates 1 Running head: Deliberately making miskates Deliberately making miskates	R2032251
The Bilingual Patient's Dilemma: Same Question, Different Answer	R2032269
Developmental change in partition dependent resource allocation behavior	R2032281
What I Like Is What I Remember: Memory Modulation and Preferential Choice	R2032306
A Three-Dimensional Signal Detection Model for Eyewitness Identification	R2032330
Why hasn't evolution selected for perfect self-control?	R2032349
The Wisdom of the Crowd Can Unmask Faces	R2032372
Sources of confidence in value-based choice	R2032397
The Role of Passing Time in Decision-Making	R2032418
Statistical information about reward timing is insufficient for promoting optimal persistence decisions	R2032440
Representative Lawyering Bias and Need for Closure	R2032464
Exercise Shifts Hypothetical Food Choices towards Greater Amounts and More Immediate Consumption	R2032487
Structure-Trait-Identity Relation (STIR): An Integrative Framework for Understanding Redistribution Decisions in Economic Games	R2032521
Evaluating the performance of personality-based profiling in predicting physical activity as an external outcome	R2032547
Moral judgments are (most probably) robust to physical fatigue: evidence from Process Dissociation analyses in athletes and firefighters	R2032559
Bidirectional Influences of Information-Sampling and Concept Learning	R2032579
How do academics, regulators, and treatment providers think that safer gambling messages can be improved?	R2032618
Testing the Ability of the Surprisingly Popular Method to Predict NFL Games	R2032650
Social Decision Making with Humans and Robots: Trust and Approachability Mediate Economic Decision Making	R2032667
Overconfidently Underthinking: Narcissism negatively predicts cognitive reflection	R2032699
Time Pressure Decreases Caution But Does Not Alter Subjective Valuation In Multi-Attribute Preferential Choice	R2032725
Beyond reach: Do symmetric changes in motor costs affect decision making? A registered report	R2032742
DIVISION OF LABOUR IN COGNITIVE COLLABORATION	R2032760
A cognitive signature of metabolic health in effort-based decision-making	R2032783
Training diversity promotes absolute-value-guided choice	R2032802
A Psychometric Framework for Evaluating Fairness in Algorithmic Decision Making: Differential Algorithmic Functioning	R2032817
Financial Resources and Decisions to Avoid Information about Environmental Perils	R2032843
D E P A R T M E N T O F P S Y C H O L O G Y	R2032864
CONSCIOUSNESS: IN YOUR OWN WORDS	R2032878
Make-or-break: chasing risky goals or settling for safe rewards?	R2032888
Age-group differences in trust-related decision-making and learning	R2032914
Testing the factor structure underlying behavior using joint cognitive models: Impulsivity in delay discounting and Cambridge gambling tasks	R2032942
Cognitive resources predict value learning for outcome-irrelevant features Authors	R2032955
The Precision in Psychiatry (PIP) study: an internet-based methodology for accelerating research in treatment prediction and personalisation	R2032994
Running head: SEVENTH GENERATION STEWARDSHIP Beyond Seven Generations: Mapping and Expanding the Temporal Horizon of Intergenerational Concern	R2033026
From empathy to apathy: The bystander effect revisited	R2033051
Understanding, Explaining, and Utilizing Medical Artificial Intelligence	R2033077
Cognitive sequential dependencies in the wild: Sentiment analysis approach	R2033087
Impact of sharing full versus averaged social information on social influence and estimation accuracy	R2033105
A Taxonomy for Quantification of Norwegian Probability Phrases	R2033130
Running head: RESPONSE TIMES IN DECISIONS FROM MEMORY 1 Response time models separate single-and dual-process accounts of memory-based decisions	R2033149
Remote experiential learning and the replication crisis 1 Assessing the replicability of Cognitive Psychology via remote experiential learning	R2033187
Running head: RT DISTRIBUTIONS AND RACE MODELS IN FREE RECALL 1 Using response time distributions and race models to characterize primacy and recency effects in free recall initiation	R2033227
A Decision Architecture for Safety Computations	R2033249
How choice confidence shapes preferences: a Registered Report	R2033274
Inaction Inertia Effect: Foregoing Opportunities as a Consequence of an Initial Failure to Act -a Replication-Extension Study in the Brazilian Population	R2033321
Combined Effects of Social Exclusion and Social Rank Feedback on Risky Decision-Making Across Adolescence	R2033342
Decomposing economic choices with drift-diffusion models	R2033368
MODELLING CHANGES IN COGNITIVE PROCESSES	R2033396
No Effects of Acute Stress on Monetary Delay Discounting: A Systematic Literature Review and Meta-Analysis	R2033419
Tipsy, trashed, or totalled? Lay understanding of dose-specific alcohol intoxication and the criminal justice system	R2033449
The Social Power of Narcissists in Mass Customization	R2033462
Exposure to misleading and unreliable information reduces active information-seeking	R2033483
Distributional Dual-Process Model Predicts Strategic Shifts in Decision-Making Under Uncertainty 10	R2033515
Influence of the physical effort of reminder-setting on strategic offloading of delayed intentions	R2033550
Fixation patterns in simple choice reflect optimal information sampling	R2033577
BRAIN STRUCTURE CORRELATES OF SOCIAL INFORMATION USE: AN EXPLORATORY MACHINE LEARNING APPROACH	R2033629
Using Bots in Strategizing Group Compositions to Improve Decision-Making Processes	R2033637
Temporal discounting when outcomes are experienced in the moment: Validation of a novel paradigm and comparison with a classic hypothetical intertemporal choice task	R2033657
Piecewise constant averaging methods allow for fast and accurate hierarchical Bayesian estimation of drift di usion models with time-varying evidence accumulation rates	R2033675
Misdirected vigor: Differentiating the control of value from the value of control	R2033690
Decisions among shifting choice alternatives reveal option-general representations of evidence	R2033716
Continued influence of false accusations in forming impressions of political candidates	R2033755
Five Steps to Understand the Mental State: A Contribution from the Economics of Emotions to the Theory of Mind	R2033807
Cognitive offloading is value-based decision making: Modelling cognitive effort and the expected value of memory	R2033836
Patient online access to medical records in general practice: perceived effects after one year follow-up	R2033862
Creative or Not? Hierarchical Diffusion Modeling of the Creative Evaluation Process	R2033886
Conceptual replication study of fifteen JDM effects: Insights from the Polish sample	R2033924
