Braking behaviour of automated vehicles as critical implicit communication for pedestrians' vehicle behaviour estimation and road crossing	R1412136
Regulation Strategy Usage and Forecasting with Dynamic Stimuli	R1412158
A dynamic model of context-based retrieval	R1412173
Incidental anger and happiness increase intentional self-serving deception: An online study based on an ecological deception task	R1412182
MODELING RISK-TAKING IN EUTHYMIC BIPOLAR DISORDER Lasagna et al. 1 Mathematical modeling of risk-taking in bipolar disorder: Evidence of reduced behavioral consistency, with altered loss aversion specific to those with history of substance use disorder	R1412198
Posterior ERP tracks evidence accumulation for memory-based decisions	R1412214
A Registered Report on Gender Bias in Interpersonal Dishonesty: Are Females and Males Cheated Differently?	R1412230
"Reliable Organisms from Unreliable Components" Revisited: The Linear Drift, Linear Infinitesimal Variance Model of Decision Making	R1412248
Robots improve judgments on self-generated actions: an Intentional Binding Study	R1412258
Running head: GENERATION AND CHOICE RELY ON DISTINCT FORMS OF VALUE 1 Generating options and choosing between them rely on distinct forms of value representation	R1412272
Perspectives on the mechanistic underpinnings of choice biases	R1412292
How does personalized feedback on carbon emissions impact intended climate action?	R1412306
Global motion evoked potentials in autistic and dyslexic children: a cross-syndrome approach	R1412325
Assessing communica on success in triads based on group decisionmaking outcomes	R1412346
Running head: LBW DECISIONS IN ELITE CRICKET 1 When in doubt, it's not out: Match is associated with changes in elite-level cricket umpires' leg-before-wicket decisions	R1412363
The globalizability of temporal discounting	R1412377
Running head: MODELING WITHIN-TRIAL CONFLICT 1 A Model of Dynamic, Within-Trial Conflict Resolution for Decision Making	R1412393
Learning to be confident: How agents learn confidence based on prediction errors	R1412406
Reckless Gambles and Responsible Ventures: Racialized Prototypes of Risk-taking	R1412417
Analysis of a stochastic dynamical model of word-by-word sentence comprehension	R1412434
Women compared with men work harder for small rewards	R1412452
Making it worse by trying to make it better -Intolerance of uncertainty is associated with maladaptive safety behavior in decision making	R1412469
Foreign Language Effect on the Judgment of Bullshit: Interplay of Language, Emotions and Meaning	R1412485
Dyadic Interaction Platform: A novel tool to study transparent social interactions	R1412504
Considering what we know and what we don't know: Expectations and confidence guide value integration in value-based decision-making	R1412521
Note: This version adds labels for Table 1 and corrects a data entry error regarding the total hurricane fear rating for people low in intuition, which does not meaningfully affect the results	R1412540
Neural and cognitive signatures of guilt predict hypocritical blame	R1412559
Response Time and Algorithmic Predictions	R1412579
Goal-driven information search biases create polarization and extremism during the accumulation of qualitative evidence	R1412597
An active inference account of skilled anticipation in sport: Using computational models to formalise theory and generate new hypotheses	R1412612
Boosting model-based control in older adults	R1412625
Running Title: RETRO-CUEING IN MULTI-ATTRIBUTE CHOICES 1 Retro-cueing in multi-attribute choices: The influence of memory availability on strategy selection and attribute weights	R1412640
The temporal dynamics of attentional allocation during counterfactual learning	R1412657
Interoception as modeling, allostasis as control	R1412674
Bayesian Priors in Active Avoidance	R1412689
Naive Sociology: Children recognize decision-making structures and prefer groups with less concentrated power	R1412703
Resting-state EEG temporal correlations relate to the prioritization of internal preference over past external rewards in free choice	R1412719
Self-reported childhood family adversity is linked to an attenuated gain of trust during adolescence	R1412736
Mathers, S. (in press) Using video to assess preschool teachers' pedagogical knowledge: explicit and higher-order knowledge predicts quality. Accepted for publication by Early Childhood Research Quarterly (due 2021)	R1412745
Enhancing Computational Diagnostic Tools for Major Depressive Disorder in Children and Adolescents: Deep Learning Analysis of Resting-State and Functional Connectivity from High-Density EEG	R1412754
BAYESIAN ESTIMATION OF ENGAGEMENT MODELS	R1412769
Inefficient eye movements: Gamification improves task execution, but not fixation strategy	R1412788
Positive affect modulates memory by regulating the influence of reward prediction errors	R1412804
Number of references: 36	R1412822
Multiple timescales of temporal context in risky choice: Behavioral identification and relationships to physiological arousal	R1412838
A Study on the Prevalence of Groupthink in International Education Communities 4/26/23	R1412852
